GEOID,Income,year
04000US26,49370,2007
04000US27,58058,2007
04000US28,37279,2007
04000US29,46005,2007
04000US30,43655,2007
04000US31,49174,2007
04000US32,54058,2007
04000US33,67576,2007
04000US34,60508,2007
04000US35,44356,2007
04000US36,48944,2007
04000US37,43513,2007
04000US38,47205,2007
04000US39,49099,2007
04000US40,43216,2007
04000US41,50236,2007
04000US42,48437,2007
04000US44,54210,2007
04000US45,44213,2007
04000US46,46418,2007
04000US47,41195,2007
04000US48,46053,2007
04000US49,53529,2007
04000US50,47390,2007
04000US51,59161,2007
04000US53,58080,2007
04000US54,42091,2007
04000US55,51277,2007
04000US56,48744,2007
04000US01,42590,2011
04000US02,57431,2011
04000US04,48621,2011
04000US05,41302,2011
04000US06,53367,2011
04000US08,58629,2011
04000US09,65415,2011
04000US10,54660,2011
04000US12,45105,2011
04000US13,45973,2011
04000US15,59047,2011
04000US16,47459,2011
04000US17,50637,2011
04000US18,44445,2011
04000US19,50219,2011
04000US20,46147,2011
04000US21,39856,2011
04000US22,40658,2011
04000US23,49693,2011
04000US24,68876,2011
04000US25,63313,2011
04000US26,48879,2011
04000US27,57820,2011
04000US28,41090,2011
04000US29,45774,2011
04000US30,40277,2011
04000US31,55616,2011
04000US32,47043,2011
04000US33,65880,2011
04000US34,62338,2011
04000US35,41982,2011
04000US36,50636,2011
04000US37,45206,2011
04000US38,56361,2011
04000US39,44648,2011
04000US40,48455,2011
04000US41,51526,2011
04000US42,49910,2011
04000US44,49033,2011
04000US45,40084,2011
04000US46,47223,2011
04000US47,42279,2011
04000US48,49047,2011
04000US49,55493,2011
04000US50,51862,2011
04000US51,62616,2011
04000US53,56850,2011
04000US54,41821,2011
04000US55,52058,2011
04000US56,54509,2011
04000US01,37150,2005
04000US02,55891,2005
04000US04,45245,2005
04000US05,36658,2005
04000US06,51755,2005
04000US08,50449,2005
04000US09,56835,2005
04000US10,51235,2005
04000US12,42990,2005
04000US13,45926,2005
04000US15,59586,2005
04000US16,44176,2005
04000US17,48398,2005
04000US18,42437,2005
04000US19,46500,2005
04000US20,42027,2005
04000US21,36699,2005
04000US22,37236,2005
04000US23,43923,2005
04000US24,60512,2005
04000US25,56017,2005
04000US26,45933,2005
04000US27,54215,2005
04000US28,32875,2005
04000US29,42986,2005
04000US30,37313,2005
04000US31,47923,2005
